antecedents,consequents,support,confidence,lift
"Sexo de la victima=Mujer, Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda, Sexo del Agresor=Hombre",Zona del Hecho=Cabecera municipal,0.2,0.901,1.076
"Sexo del Agresor=Hombre, Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",Zona del Hecho=Cabecera municipal,0.349,0.899,1.074
"Sexo de la victima=Hombre, Sexo del Agresor=Hombre, Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",Zona del Hecho=Cabecera municipal,0.148,0.897,1.071
"Sexo de la victima=Mujer, Factor Desencadenante de la Agresión=Intolerancia, machismo, Sexo del Agresor=Hombre",Zona del Hecho=Cabecera municipal,0.245,0.889,1.062
"Sexo del Agresor=Hombre, Factor Desencadenante de la Agresión=Intolerancia, machismo",Zona del Hecho=Cabecera municipal,0.444,0.886,1.059
"Sexo de la victima=Hombre, Sexo del Agresor=Hombre, Factor Desencadenante de la Agresión=Intolerancia, machismo",Zona del Hecho=Cabecera municipal,0.198,0.884,1.056
"Sexo de la victima=Mujer, Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",Zona del Hecho=Cabecera municipal,0.32,0.879,1.051
"Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",Zona del Hecho=Cabecera municipal,0.526,0.879,1.05
"Sexo de la victima=Hombre, Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",Zona del Hecho=Cabecera municipal,0.206,0.878,1.05
"Zona del Hecho=Cabecera municipal, Sexo del Agresor=Mujer, Escenario del Hecho=Vivienda, Sexo de la victima=Mujer","Factor Desencadenante de la Agresión=Intolerancia, machismo",0.119,0.869,1.119
"Sexo de la victima=Mujer, Factor Desencadenante de la Agresión=Intolerancia, machismo",Zona del Hecho=Cabecera municipal,0.404,0.868,1.037
"Factor Desencadenante de la Agresión=Intolerancia, machismo",Zona del Hecho=Cabecera municipal,0.673,0.867,1.036
"Sexo de la victima=Hombre, Factor Desencadenante de la Agresión=Intolerancia, machismo",Zona del Hecho=Cabecera municipal,0.269,0.866,1.035
"Sexo de la victima=Mujer, Escenario del Hecho=Vivienda, Sexo del Agresor=Hombre",Zona del Hecho=Cabecera municipal,0.25,0.863,1.031
"Sexo del Agresor=Hombre, Escenario del Hecho=Vivienda",Zona del Hecho=Cabecera municipal,0.435,0.861,1.029
"Sexo de la victima=Hombre, Sexo del Agresor=Hombre, Escenario del Hecho=Vivienda",Zona del Hecho=Cabecera municipal,0.185,0.859,1.026
"Sexo de la victima=Mujer, Sexo del Agresor=Hombre",Zona del Hecho=Cabecera municipal,0.306,0.854,1.021
