sexo_agresor,presunto_agresor,id_agresor
Mujer,Primo(a),1
Sin información,Padrastro,2
Mujer,Primo (a),3
Sin información,Encargado del cuidado,4
Hombre,Sobrino(a),5
Sin información,Cuñado (a),6
Sin información,Madre,7
Hombre,Nieto(a),8
Mujer,Madrastra,9
Hombre,Padrastro,10
Hombre,Nieto (a),11
Mujer,Hijo(a),12
Hombre,Cuñado(a),13
Hombre,Suegro (a),14
Mujer,Tío (a),15
Mujer,Hermano(a),16
Hombre,Cuñado (a),17
Hombre,Primo (a),18
Hombre,Hermano(a),19
Mujer,Tío(a),20
Sin información,Hermano (a),21
Mujer,Madre,22
Hombre,Hermano (a),23
Hombre,Sobrino (a),24
Hombre,Madrastra,25
Mujer,Sobrino(a),26
Mujer,Abuelo(a),27
Mujer,Hermano (a),28
Hombre,Otros familiares civiles o consanguíneos,29
Hombre,Tío(a),30
Hombre,Tío (a),31
Hombre,Hijo (a),32
Hombre,Encargado del cuidado,33
Mujer,Sobrino (a),34
Hombre,Abuelo(a),35
Hombre,Otros familiares civiles o consanguineos,36
Mujer,Nuera,37
Mujer,Profesor (a),38
Mujer,Encargado del cuidado,39
Mujer,Hijo (a),40
Hombre,Nuera,41
Mujer,Tio (a),42
Mujer,Cuñado(a),43
Hombre,Padre,44
Mujer,Suegro (a),45
Sin información,Otros familiares civiles o consanguíneos,46
Hombre,Primo(a),47
Mujer,Nieto(a),48
Mujer,Padre,49
Mujer,Abuelo (a),50
Sin información,Hijo (a),51
Mujer,Cuñado (a),52
Hombre,Suegro(a),53
Hombre,Hijo(a),54
Hombre,Tio (a),55
Hombre,Madre,56
Hombre,Abuelo (a),57
Mujer,Otros familiares civiles o consanguíneos,58
Mujer,Suegro(a),59
Mujer,Nieto (a),60
Hombre,Personal de custodia,61
Hombre,Sin información,62
Sin información,Nieto (a),63
Hombre,Yerno,64
Sin información,Sin información,65
Mujer,Otros familiares civiles o consanguineos,66
Mujer,Padrastro,67
