año,mes,dia,rango_hora,id_tiempo
2015,Agosto,jueves,(21:00 a 23:59),1
2015,Octubre,miércoles,(18:00 a 20:59),2
2015,Agosto,sábado,(06:00 a 08:59),3
2016,julio,domingo,(09:00 a 11:59),4
2016,septiembre,jueves,(09:00 a 11:59),5
2017,Junio,Lunes,(06:00 a 08:59),6
2019,agosto,sábado,(09:00 a 11:59),7
2019,octubre,domingo,(12:00 a 14:59),8
2019,diciembre,lunes,(18:00 a 20:59),9
2021,abril,lunes,(06:00 a 08:59),10
2021,octubre,sábado,(09:00 a 11:59),11
2022,enero,domingo,(18:00 a 20:59),12
2023,noviembre,sábado,(18:00 a 20:59),13
2023,abril,miércoles,(15:00 a 17:59),14
2023,septiembre,jueves,(15:00 a 17:59),15
2023,septiembre,miércoles,(12:00 a 14:59),16
2024,Abril,Miércoles,(15:00 a 17:59),17
2024,Septiembre,Viernes,Sin información,18
2024,Marzo,Miércoles,(09:00 a 11:59),19
2015,Septiembre,miércoles,Sin información,20
2015,Julio,jueves,(12:00 a 14:59),21
2016,diciembre,jueves,(21:00 a 23:59),22
2016,mayo,domingo,(18:00 a 20:59),23
2016,junio,jueves,(21:00 a 23:59),24
2017,Diciembre,Domingo,(12:00 a 14:59),25
2018,mayo,lunes,(06:00 a 08:59),26
2019,mayo,martes,(15:00 a 17:59),27
2020,junio,martes,(09:00 a 11:59),28
2020,agosto,viernes,(18:00 a 20:59),29
2021,septiembre,miércoles,(15:00 a 17:59),30
2022,julio,sábado,(09:00 a 11:59),31
2022,julio,miércoles,Sin información,32
2022,enero,martes,(06:00 a 08:59),33
2022,noviembre,viernes,(09:00 a 11:59),34
2023,diciembre,martes,(21:00 a 23:59),35
2023,marzo,viernes,(18:00 a 20:59),36
2024,Septiembre,Lunes,Sin información,37
2024,Julio,Martes,(18:00 a 20:59),38
2016,marzo,miércoles,(15:00 a 17:59),39
2016,octubre,lunes,(15:00 a 17:59),40
2018,abril,domingo,Sin información,41
2018,enero,martes,(03:00 a 05:59),42
2018,febrero,viernes,Sin información,43
2018,marzo,lunes,Sin información,44
2018,mayo,domingo,(06:00 a 08:59),45
2018,noviembre,domingo,(18:00 a 20:59),46
2019,mayo,miércoles,(12:00 a 14:59),47
2019,junio,domingo,(15:00 a 17:59),48
2019,octubre,domingo,Sin información,49
2021,septiembre,sábado,(21:00 a 23:59),50
2022,mayo,domingo,(06:00 a 08:59),51
2022,agosto,sábado,(00:00 a 02:59),52
2022,mayo,jueves,(12:00 a 14:59),53
2023,diciembre,martes,Sin información,54
2023,marzo,domingo,(15:00 a 17:59),55
2024,Mayo,Sábado,Sin información,56
2024,Julio,Lunes,(00:00 a 02:59),57
2015,Marzo,martes,(18:00 a 20:59),58
2015,Octubre,sábado,(06:00 a 08:59),59
2016,febrero,miércoles,(09:00 a 11:59),60
2016,noviembre,domingo,(18:00 a 20:59),61
2017,Agosto,Martes,(00:00 a 02:59),62
2017,Noviembre,Lunes,(15:00 a 17:59),63
2019,abril,martes,(15:00 a 17:59),64
2019,julio,viernes,(21:00 a 23:59),65
2019,agosto,lunes,(18:00 a 20:59),66
2022,febrero,domingo,(18:00 a 20:59),67
2024,Febrero,Sábado,(18:00 a 20:59),68
2024,Julio,Lunes,(09:00 a 11:59),69
2024,Marzo,Miércoles,(06:00 a 08:59),70
2024,Septiembre,Sábado,(15:00 a 17:59),71
2015,Mayo,miércoles,(09:00 a 11:59),72
2015,Octubre,domingo,(12:00 a 14:59),73
2015,Abril,domingo,(21:00 a 23:59),74
2016,junio,domingo,(21:00 a 23:59),75
2016,enero,viernes,(15:00 a 17:59),76
2016,enero,miércoles,Sin información,77
2016,marzo,viernes,(09:00 a 11:59),78
2018,abril,domingo,(06:00 a 08:59),79
2017,Mayo,Martes,(06:00 a 08:59),80
2017,Septiembre,Miércoles,Sin información,81
2018,julio,martes,(18:00 a 20:59),82
2018,septiembre,martes,(09:00 a 11:59),83
2019,junio,lunes,(12:00 a 14:59),84
2020,septiembre,sábado,Sin información,85
2021,octubre,lunes,(21:00 a 23:59),86
2021,diciembre,lunes,Sin información,87
2022,enero,miércoles,(12:00 a 14:59),88
2023,febrero,miércoles,(09:00 a 11:59),89
2023,abril,martes,(18:00 a 20:59),90
2023,noviembre,miércoles,Sin información,91
2024,Diciembre,Miércoles,Sin información,92
2015,Noviembre,lunes,(06:00 a 08:59),93
2015,Febrero,jueves,(12:00 a 14:59),94
2015,Junio,sábado,(21:00 a 23:59),95
2016,agosto,lunes,(18:00 a 20:59),96
2016,septiembre,sábado,(21:00 a 23:59),97
2018,junio,jueves,(18:00 a 20:59),98
2019,mayo,domingo,(15:00 a 17:59),99
2019,agosto,jueves,(12:00 a 14:59),100
2019,diciembre,sábado,(21:00 a 23:59),101
2020,marzo,domingo,(12:00 a 14:59),102
2020,abril,sábado,(09:00 a 11:59),103
2020,julio,viernes,(21:00 a 23:59),104
2021,octubre,jueves,(18:00 a 20:59),105
2022,agosto,lunes,(12:00 a 14:59),106
2023,junio,domingo,(09:00 a 11:59),107
2023,septiembre,viernes,(12:00 a 14:59),108
2023,agosto,jueves,(09:00 a 11:59),109
2023,diciembre,miércoles,(15:00 a 17:59),110
2023,julio,martes,(21:00 a 23:59),111
2015,Mayo,martes,Sin información,112
2016,noviembre,miércoles,(18:00 a 20:59),113
2016,enero,domingo,(15:00 a 17:59),114
2016,enero,domingo,(18:00 a 20:59),115
2017,Febrero,Viernes,(18:00 a 20:59),116
2017,Mayo,Martes,(18:00 a 20:59),117
2017,Noviembre,Lunes,(18:00 a 20:59),118
2018,enero,domingo,(12:00 a 14:59),119
2019,marzo,domingo,Sin información,120
2019,abril,miércoles,(18:00 a 20:59),121
2019,diciembre,martes,(09:00 a 11:59),122
2020,febrero,jueves,(12:00 a 14:59),123
2021,marzo,jueves,(15:00 a 17:59),124
2021,septiembre,viernes,(06:00 a 08:59),125
2021,noviembre,miércoles,(15:00 a 17:59),126
2021,noviembre,martes,(12:00 a 14:59),127
2022,febrero,martes,(09:00 a 11:59),128
2022,marzo,miércoles,(09:00 a 11:59),129
2022,mayo,domingo,(00:00 a 02:59),130
2023,agosto,miércoles,(06:00 a 08:59),131
2023,enero,viernes,(21:00 a 23:59),132
2023,junio,martes,(18:00 a 20:59),133
2024,Julio,Miércoles,(09:00 a 11:59),134
2024,Junio,Sábado,(00:00 a 02:59),135
2015,Mayo,sábado,(06:00 a 08:59),136
2015,Julio,sábado,(21:00 a 23:59),137
2015,Septiembre,martes,Sin información,138
2017,Enero,Domingo,(03:00 a 05:59),139
2017,Julio,Sábado,(18:00 a 20:59),140
2018,abril,martes,(03:00 a 05:59),141
