sexo,ciclo_vital,escolaridad,estado_civil,identidad_genero,transgenero,tipo_discapacidad,id_victima
Hombre,(29 a 59) Adultez,Sin escolaridad,Soltero (a),No Sabe / No Informa,No Sabe / No Informa,Visual,1
Hombre,(29 a 59) Adultez,Universitario,Unión libre,Masculino,No Sabe / No Informa,Ninguna,2
Mujer,(29 a 59) Adultez,Educación básica secundaria o secundaria baja,Casado (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,3
Mujer,(18 a 28) Juventud,Educación media o secundaria alta,Sin información,No Sabe / No Informa,No Sabe / No Informa,Ninguna,4
Hombre,(18 a 28) Juventud,Universitario,Soltero (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,5
Hombre,(29 a 59) Adultez,Educación media o secundaria alta,Unión libre,Masculino,No Sabe / No Informa,Ninguna,6
Mujer,(29 a 59) Adultez,Educación media o secundaria alta,"Separado (a), divorciado (a)",Femenino,No Sabe / No Informa,Ninguna,7
Mujer,(Más de 60) Adulto Mayor,Educación técnica profesional y tecnológica,Viudo (a),Femenino,No Sabe / No Informa,Ninguna,8
Mujer,(29 a 59) Adultez,Educación básica primaria,Soltero (a),Masculino,No Sabe / No Informa,Ninguna,9
Mujer,(Más de 60) Adulto Mayor,Educación inicial y educación preescolar,Soltero (a),Femenino,No Sabe / No Informa,Ninguna,10
Mujer,(Más de 60) Adulto Mayor,Sin información,Sin información,Femenino,No Sabe / No Informa,Ninguna,11
Mujer,(Más de 60) Adulto Mayor,Sin escolaridad,Viudo (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,12
Mujer,(29 a 59) Adultez,Educación básica primaria,"Separado (a), Divorciado (a)",No Sabe / No Informa,No Sabe / No Informa,Ninguna,13
Hombre,(Más de 60) Adulto Mayor,Sin escolaridad,Casado (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,14
Mujer,(12 a 17) Adolescencia,Educación básica secundaria o secundaria baja,Viudo (a),Masculino,No Sabe / No Informa,Ninguna,15
Hombre,(29 a 59) Adultez,Sin información,Unión libre,Masculino,No Sabe / No Informa,Ninguna,16
Hombre,(12 a 17) Adolescencia,Sin información,Sin información,Masculino,No Sabe / No Informa,Ninguna,17
Mujer,(12 a 17) Adolescencia,Educación básica secundaria o secundaria baja,Unión libre,Femenino,No Sabe / No Informa,Ninguna,18
Mujer,(06 a 11) Infancia,Educación inicial y educación preescolar,Soltero (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,19
Hombre,(29 a 59) Adultez,Educación técnica profesional y tecnológica,"Separado (a), divorciado (a)",Masculino,No Sabe / No Informa,Ninguna,20
Mujer,(06 a 11) Infancia,Sin información,No aplica,No aplica,No aplica,Ninguna,21
Hombre,(29 a 59) Adultez,Educación inicial y educación preescolar,"Separado (a), Divorciado (a)",No Sabe / No Informa,No Sabe / No Informa,Ninguna,22
Mujer,(06 a 11) Infancia,Educación inicial y educación preescolar,Soltero (a),Femenino,No Sabe / No Informa,Ninguna,23
Mujer,(29 a 59) Adultez,Educación media o secundaria alta,Sin información,Femenino,No Sabe / No Informa,Ninguna,24
Hombre,(29 a 59) Adultez,Educación técnica profesional y tecnológica,Unión libre,Transformista,No Sabe / No Informa,Ninguna,25
Mujer,(29 a 59) Adultez,Educación técnica profesional y tecnológica,Sin información,No Sabe / No Informa,No Sabe / No Informa,Ninguna,26
Hombre,(06 a 11) Infancia,Educación inicial y educación preescolar,Soltero (a),Masculino,No Sabe / No Informa,Ninguna,27
Hombre,(18 a 28) Juventud,Sin escolaridad,Soltero (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,28
Mujer,(29 a 59) Adultez,Sin información,Viudo (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,29
Hombre,(06 a 11) Infancia,Sin información,Soltero (a),Masculino,No Sabe / No Informa,Ninguna,30
Mujer,(Más de 60) Adulto Mayor,Ninguna,Viudo (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,31
Hombre,(06 a 11) Infancia,Sin información,No aplica,No aplica,No aplica,Ninguna,32
Hombre,(Más de 60) Adulto Mayor,Educación básica secundaria o secundaria baja,Soltero (a),Masculino,No Sabe / No Informa,Psicosocial,33
Mujer,(Más de 60) Adulto Mayor,Educación básica secundaria o secundaria baja,Casado (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,34
Hombre,(29 a 59) Adultez,Educación inicial y educación preescolar,Viudo (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,35
Hombre,(29 a 59) Adultez,Básica primaria,Unión libre,No Sabe / No Informa,No Sabe / No Informa,Ninguna,36
Mujer,(Más de 60) Adulto Mayor,Preescolar,Unión libre,No Sabe / No Informa,No Sabe / No Informa,Ninguna,37
Hombre,(12 a 17) Adolescencia,Educación básica primaria,Soltero (a),Masculino,No Sabe / No Informa,Discapacidad Múltiple,38
Mujer,(Más de 60) Adulto Mayor,Educación básica primaria,Viudo (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,39
Mujer,(Más de 60) Adulto Mayor,Sin escolaridad,Viudo (a),Femenino,No Sabe / No Informa,Ninguna,40
Mujer,(Más de 60) Adulto Mayor,Educación media o secundaria alta,Soltero (a),No Sabe / No Informa,No Sabe / No Informa,Ninguna,41
