id_caso,id_tiempo,id_municipio,id_victima,id_agresor,id_hecho,cantidad
1,2291,7,70,22,688,1
2,1182,7,70,66,1618,1
3,2356,7,568,23,1655,1
4,3135,7,82,23,1655,1
5,1087,3,101,36,2349,1
6,3936,4,492,32,1816,1
7,3758,7,375,32,1698,1
8,1680,7,52,44,657,1
9,2333,7,427,44,1655,1
10,2316,7,36,17,2486,1
11,521,7,36,36,2541,1
12,1253,7,318,36,1984,1
13,2648,7,82,23,1060,1
14,2508,7,335,10,657,1
15,2114,7,318,40,1655,1
16,1714,7,37,32,1109,1
17,325,7,470,24,1655,1
18,2035,7,318,64,717,1
19,3899,3,49,23,2056,1
20,692,7,37,36,1974,1
21,2509,7,335,44,2323,1
22,2333,7,188,52,1249,1
23,413,7,82,18,1404,1
24,2115,7,95,37,1516,1
25,756,7,492,40,1655,1
26,2230,7,188,60,2221,1
27,2555,7,375,23,1655,1
28,2129,7,470,40,1331,1
29,714,7,133,22,171,1
30,3240,7,79,10,843,1
31,1580,7,470,64,1762,1
32,2015,7,335,44,2057,1
33,693,7,470,44,783,1
34,1254,7,82,44,1655,1
35,545,7,335,44,657,1
36,3271,7,367,42,1279,1
37,1226,7,125,55,1226,1
38,1066,7,226,44,1534,1
39,112,7,86,44,2600,1
40,2469,2,277,22,1534,1
41,655,7,70,22,2600,1
42,3484,1,453,44,1975,1
43,349,2,349,22,2262,1
44,1781,7,70,44,657,1
45,2185,7,591,44,688,1
46,181,7,394,52,505,1
47,2489,7,70,66,2136,1
48,3105,7,82,17,26,1
49,1463,1,347,28,1378,1
50,959,2,142,28,2350,1
51,3759,7,82,52,704,1
52,1885,5,335,23,1013,1
53,2929,7,335,10,657,1
54,200,7,335,44,657,1
55,2397,7,335,18,1534,1
56,3701,7,335,44,2600,1
57,546,7,589,44,657,1
58,1163,7,82,28,2295,1
59,3937,7,278,28,925,1
60,3785,7,199,66,1435,1
61,1715,7,335,44,657,1
62,3736,7,82,10,815,1
63,3371,7,82,23,1655,1
64,2649,7,335,10,2669,1
65,1759,7,335,22,1534,1
66,1864,2,475,32,1,1
67,522,7,394,17,1655,1
68,264,7,188,28,1807,1
69,1013,7,367,44,1279,1
70,3202,7,386,32,1904,1
71,2830,3,538,36,902,1
72,3824,7,335,44,2029,1
73,3323,1,335,42,926,1
74,3241,7,79,44,843,1
75,1681,7,125,17,1655,1
76,674,7,166,44,674,1
77,2116,7,375,40,1014,1
78,2357,7,36,17,844,1
79,1288,7,562,52,1291,1
80,2261,7,318,64,1655,1
81,3010,3,82,44,9,1
82,326,7,143,32,1109,1
83,2470,7,335,44,657,1
84,1516,7,70,22,2840,1
85,566,7,226,22,657,1
86,1088,2,86,22,2262,1
87,3203,7,591,28,2058,1
88,2963,7,125,14,829,1
89,959,2,79,33,2351,1
90,182,1,538,57,2324,1
91,1014,7,79,44,657,1
92,1990,7,79,44,1534,1
93,2648,7,394,17,2475,1
94,4007,5,370,44,519,1
95,4007,5,370,36,202,1
96,2800,1,585,10,1262,1
97,547,7,199,14,1655,1
98,1226,7,335,22,1930,1
99,3105,7,102,64,1280,1
100,3805,7,335,10,474,1
101,1516,7,70,22,2600,1
102,3410,7,591,39,2263,1
103,2244,7,79,23,474,1
104,2508,7,476,32,1109,1
105,3372,7,394,66,572,1
106,1759,7,70,44,2728,1
107,183,7,563,23,2,1
108,3272,7,563,23,98,1
109,1680,7,335,23,2600,1
110,1289,2,335,28,603,1
111,1760,7,21,44,533,1
112,2736,7,199,45,336,1
113,1316,7,82,10,1655,1
114,3371,7,82,23,1404,1
115,2623,7,82,23,1655,1
116,3785,7,125,55,829,1
117,3658,2,82,17,648,1
118,93,7,255,23,718,1
119,3785,7,562,23,2788,1
120,756,7,470,40,2542,1
121,307,7,335,36,657,1
122,3936,7,37,64,1109,1
123,2575,7,434,37,2475,1
124,3572,7,434,32,2208,1
125,3659,7,79,23,657,1
126,2376,7,453,44,657,1
127,1255,7,86,10,657,1
128,1486,7,226,44,657,1
129,3203,2,591,56,2439,1
130,1207,2,70,44,474,1
131,291,7,370,44,1490,1
132,641,7,589,56,657,1
133,1,7,335,23,534,1
134,2986,7,226,22,1013,1
135,2872,7,133,55,925,1
136,3916,7,465,32,829,1
137,2130,2,82,56,2402,1
138,2397,7,335,22,2600,1
139,715,3,52,10,1656,1
140,1486,2,335,55,1985,1
141,2471,7,516,22,2368,1
142,2035,7,144,36,474,1
143,3411,7,52,36,1618,1
144,1886,7,52,22,2525,1
145,2930,7,335,23,657,1
146,849,7,470,23,829,1
147,2963,2,516,22,1362,1
148,1682,7,499,50,2019,1
149,715,7,394,55,2789,1
150,1367,7,370,22,2600,1
151,1738,7,86,44,657,1
152,1825,7,86,22,657,1
153,3432,7,335,17,187,1
154,739,7,335,44,1534,1
155,1164,3,370,22,2403,1
156,2214,7,82,10,2296,1
157,2510,7,318,40,1655,1
158,715,7,394,55,1725,1
159,655,7,562,32,2616,1
160,72,7,216,44,1331,1
161,2036,7,82,10,162,1
162,3204,7,216,17,718,1
163,1382,7,216,32,1904,1
164,2377,7,562,17,1655,1
165,3846,2,143,32,1807,1
166,2649,7,335,45,284,1
167,3847,2,318,40,27,1
